Pattern,Metric_Success,Metric_Unsuccess,Diff,AbsDiff
CDC,0.0221971543975837,0.0102448250499106,0.011952329347673098,0.011952329347673098
CBC,0.0219060441759761,0.0114531890301565,0.010452855145819602,0.010452855145819602
BCD,0.0142280120810741,0.00793317221813596,0.006294839862938141,0.006294839862938141
DCB,0.0121902405298206,0.00630450772302196,0.00588573280679864,0.00588573280679864
CFC,0.0121538517521196,0.00767048439634338,0.0044833673557762195,0.0044833673557762195
CDCB,0.00593655534107877,0.00168252799831747,0.0042540273427613,0.0042540273427613
BCB,0.0109166333102871,0.00704003362404119,0.0038765996862459105,0.0038765996862459105
BCDC,0.00564519066176202,0.00194542299805457,0.0036997676637074497,0.0036997676637074497
CBCD,0.00597297592599337,0.00236605499763394,0.0036069209283594297,0.0036069209283594297
CDCD,0.00498962013329934,0.00178768599821231,0.0032019341350870297,0.0032019341350870297
DCD,0.00997052509006222,0.0070925711883997,0.0028779539016625206,0.0028779539016625206
CDE,0.0060041483206579,0.00315225386151098,0.0028518944591469204,0.0028518944591469204
CBD,0.00709581165168662,0.00441315540611537,0.0026826562455712502,0.0026826562455712502
DCBC,0.00426120843500746,0.00184026499815973,0.0024209434368477295,0.0024209434368477295
FCD,0.00567664932134929,0.00330986655458652,0.00236678276676277,0.00236678276676277
ECB,0.00593137076525599,0.00357255437637911,0.0023588163888768796,0.0023588163888768796
DCDC,0.00444331135958043,0.00215573899784426,0.00228757236173617,0.00228757236173617
DEC,0.00469415232342345,0.00246926552485026,0.0022248867985731904,0.0022248867985731904
ECE,0.00178305010734689,0.00394031732688872,-0.0021572672195418296,0.0021572672195418296
CBCB,0.00513530247295771,0.00299700299700299,0.00213829947595472,0.00213829947595472
CDCBC,0.00244231400138519,0.000368343506630183,0.002073970494755007,0.002073970494755007
CFCD,0.00320501147248424,0.00120931699879068,0.00199569447369356,0.00199569447369356
CDCDC,0.00269748113585827,0.000736687013260366,0.0019607941225979037,0.0019607941225979037
CBCDC,0.00258812379251266,0.000684066512313197,0.001904057280199463,0.001904057280199463
CDB,0.00684109020777992,0.00499106861405905,0.0018500215937208705,0.0018500215937208705
FCDC,0.00247659977419237,0.000683526999316473,0.0017930727748758967,0.0017930727748758967
BCF,0.00789636476110767,0.00614689502994641,0.0017494697311612592,0.0017494697311612592
DCBD,0.00251302035910696,0.000999000999000999,0.0015140193601059608,0.0015140193601059608
BCBC,0.00484393779364096,0.00336505599663494,0.0014788817970060198,0.0014788817970060198
FCB,0.00735053309559331,0.00588420720815383,0.0014663258874394805,0.0014663258874394805
CDEC,0.00196671158538806,0.00052578999947421,0.00144092158591385,0.00144092158591385
DBC,0.00553109421054546,0.00409793001996427,0.0014331641905811895,0.0014331641905811895
BCDCB,0.00178616994131155,0.000368343506630183,0.001417826434681367,0.001417826434681367
BCE,0.00345693388159091,0.00204896500998213,0.0014079688716087798,0.0014079688716087798
HCD,0.00127360721953349,0.00267941578228433,-0.0014058085627508398,0.0014058085627508398
DCF,0.0038935992140024,0.00252180308920878,0.00137179612479362,0.00137179612479362
CDH,0.00036388777700957,0.00173373962383103,-0.00136985184682146,0.00136985184682146
CFCDC,0.00160390770240221,0.000263102504735845,0.001340805197666365,0.001340805197666365
ECBC,0.00225807626470481,0.000946421999053578,0.0013116542656512321,0.0013116542656512321
BCDCD,0.00149455035905661,0.000210482003788676,0.001284068355267934,0.001284068355267934
CDBC,0.00244017918927778,0.00115673799884326,0.00128344119043452,0.00128344119043452
CBCF,0.00364205849145937,0.00236605499763394,0.0012760034938254297,0.0012760034938254297
DEB,0.00345693388159091,0.00220657770305768,0.0012503561785332296,0.0012503561785332296
BCFC,0.00382416141603234,0.00257637099742362,0.00124779041860872,0.00124779041860872
EDE,0.00534915032204068,0.00415046758432279,0.0011986827377178898,0.0011986827377178898
CFD,0.00302026854917943,0.00183881475254807,0.00118145379663136,0.00118145379663136
CDCF,0.00193029100047346,0.000788684999211315,0.001141606001262145,0.001141606001262145
DHD,0.000545831665514355,0.00168120205947252,-0.0011353703939581648,0.0011353703939581648
CHC,0.00072777555401914,0.00183881475254807,-0.00111103919852893,0.00111103919852893
GBC,0.00109166333102871,0.0,0.00109166333102871,0.00109166333102871
DECB,0.00142040281166915,0.000368052999631947,0.0010523498120372028,0.0010523498120372028
FCBC,0.00320501147248424,0.00215573899784426,0.00104927247463998,0.00104927247463998
EFE,0.00123721844183253,0.0022591152674162,-0.0010218968255836702,0.0010218968255836702
CBG,0.00101888577562679,0.0,0.00101888577562679,0.00101888577562679
BCEC,0.00116545871726699,0.000157736999842263,0.001007721717424727,0.001007721717424727
CDCE,0.0028772262082529,0.00189284399810715,0.0009843822101457498,0.0009843822101457498
BCDE,0.00134756164183996,0.000368052999631947,0.000979508642208013,0.000979508642208013
BCDB,0.00218523509487562,0.00120931699879068,0.0009759180960849402,0.0009759180960849402
DCBCD,0.00116647832901979,0.000210482003788676,0.000955996325231114,0.000955996325231114
ECF,0.00258360321676794,0.001628664495114,0.0009549387216539397,0.0009549387216539397
CBCE,0.00167534690607131,0.000736105999263894,0.0009392409068074161,0.0009392409068074161
DBD,0.00578581565445216,0.00672480823789009,-0.0009389925834379304,0.0009389925834379304
BED,0.00251082566136603,0.00157612693075549,0.00093469873061054,0.00093469873061054
CBCFC,0.0019684321802209,0.00105241001894338,0.0009160221612775198,0.0009160221612775198
EBC,0.00294749099377751,0.00204896500998213,0.0008985259837953801,0.0008985259837953801
BCDCBC,0.000875624794775438,0.0,0.000875624794775438,0.000875624794775438
CDCFC,0.00113002588123792,0.000263102504735845,0.0008669233765020751,0.0008669233765020751
DHC,0.000509442887813398,0.00136597667332142,-0.0008565337855080219,0.0008565337855080219
BCDCDC,0.000839140428326462,0.0,0.000839140428326462,0.000839140428326462
DCDCDC,0.000839140428326462,0.0,0.000839140428326462,0.000839140428326462
DCDCD,0.00131228812014726,0.000473584508524521,0.000838703611622739,0.000838703611622739
DCFC,0.00178460866081509,0.000946421999053578,0.000838186661761512,0.000838186661761512
BDC,0.00534915032204068,0.0045182305348324,0.0008309197872082797,0.0008309197872082797
BFC,0.0028747134383756,0.00204896500998213,0.0008257484283934699,0.0008257484283934699
DCH,0.000545831665514355,0.00136597667332142,-0.000820145007807065,0.000820145007807065
HEC,0.000400276554710527,0.00120836398024587,-0.0008080874255353429,0.0008080874255353429
ECEC,0.000509888188804312,0.00131447499868552,-0.000804586809881208,0.000804586809881208
CDCDCD,0.000802656061877485,0.0,0.000802656061877485,0.000802656061877485
CBCDCB,0.000802656061877485,0.0,0.000802656061877485,0.000802656061877485
DBCDC,0.000801953851201108,0.0,0.000801953851201108,0.000801953851201108
CBDC,0.00236733801944859,0.00157736999842263,0.0007899680210259599,0.0007899680210259599
