Pattern,Metric_Success,Metric_Unsuccess,Diff,AbsDiff
ADAD,0.0205412098918308,0.00804458699195541,0.012496622899875392,0.012496622899875392
DADA,0.0208689951560622,0.00867553499132446,0.012193460164737739,0.012193460164737739
DAD,0.0309668498235144,0.0189135231690658,0.012053326654448599,0.012053326654448599
CDC,0.0221971543975837,0.0102448250499106,0.011952329347673098,0.011952329347673098
ADADA,0.0160026245762402,0.00405177857293201,0.011950846003308192,0.011950846003308192
DADAD,0.0156016476506397,0.00378867606819616,0.01181297158244354,0.01181297158244354
ADA,0.0355882245915359,0.0238520542187664,0.0117361703727695,0.0117361703727695
DADADA,0.0130978875551826,0.00189583443045973,0.011202053124722871,0.011202053124722871
ADADAD,0.0129519500893866,0.00221180683553636,0.01074014325385024,0.01074014325385024
CBC,0.0219060441759761,0.0114531890301565,0.010452855145819602,0.010452855145819602
DADADAD,0.011210516706226,0.00121218509539369,0.00999833161083231,0.00999833161083231
ADADADA,0.0111740003651634,0.00131759249499314,0.00985640787017026,0.00985640787017026
AEA,0.010079691423165,0.0193863612482925,-0.0093066698251275,0.0093066698251275
AHA,0.00174666132964593,0.0107176631291373,-0.00897100179949137,0.00897100179949137
AFA,0.00523998398893781,0.0138699169906483,-0.00862993300171049,0.00862993300171049
ACD,0.0195043848477129,0.0119260271093832,0.0075783577383297,0.0075783577383297
ACB,0.016920781630945,0.00940422402017442,0.00751655761077058,0.00751655761077058
ACA,0.0187038317382919,0.02584848166439,-0.0071446499260981,0.0071446499260981
CBA,0.0187402205159928,0.0120311022381002,0.0067091182778926,0.0067091182778926
BCD,0.0142280120810741,0.00793317221813596,0.006294839862938141,0.006294839862938141
DCB,0.0121902405298206,0.00630450772302196,0.00588573280679864,0.00588573280679864
EAE,0.00633164731996652,0.0116633392875906,-0.005331691967624081,0.005331691967624081
HAH,0.000327498999308613,0.00530629400021015,-0.004978795000901537,0.004978795000901537
BAD,0.0133182926385502,0.00856362299043816,0.004754669648112039,0.004754669648112039
FAF,0.0016011062188421,0.00625197015866344,-0.00465086393982134,0.00465086393982134
BAC,0.0172482806302536,0.0126090154460439,0.004639265184209701,0.004639265184209701
CFC,0.0121538517521196,0.00767048439634338,0.0044833673557762195,0.0044833673557762195
CBAC,0.00728411698291874,0.00294442399705557,0.00433969298586317,0.00433969298586317
CDCB,0.00593655534107877,0.00168252799831747,0.0042540273427613,0.0042540273427613
ABC,0.0150285651904952,0.0110328885152884,0.0039956766752068,0.0039956766752068
BCA,0.0121538517521196,0.00824839760428706,0.003905454147832539,0.003905454147832539
ACBC,0.00677422879411443,0.00289184499710815,0.0038823837970062797,0.0038823837970062797
BCB,0.0109166333102871,0.00704003362404119,0.0038765996862459105,0.0038765996862459105
BCDC,0.00564519066176202,0.00194542299805457,0.0036997676637074497,0.0036997676637074497
CAE,0.0062588697645646,0.00992959966375958,-0.003670729899194979,0.003670729899194979
CBCD,0.00597297592599337,0.00236605499763394,0.0036069209283594297,0.0036069209283594297
HAC,0.000982496997925839,0.00446569297047388,-0.0034831959725480414,0.0034831959725480414
ACDC,0.00710201405834577,0.00362795099637204,0.0034740630619737303,0.0034740630619737303
DAB,0.0128816273061387,0.00945676158453294,0.0034248657216057604,0.0034248657216057604
AEAE,0.00207597334013184,0.00546821599453178,-0.0033922426543999402,0.0033922426543999402
ACE,0.00494887376733015,0.00830093516864558,-0.0033520614013154305,0.0033520614013154305
EAEA,0.00207597334013184,0.00541563699458436,-0.00333966365445252,0.00333966365445252
DAC,0.0147010661911866,0.011400651465798,0.0033004147253885997,0.0033004147253885997
CDCD,0.00498962013329934,0.00178768599821231,0.0032019341350870297,0.0032019341350870297
ABAB,0.00608223768073715,0.00920132499079867,-0.003119087310061521,0.003119087310061521
DAH,0.00120082966413158,0.00430808027739834,-0.00310725061326676,0.00310725061326676
DAF,0.00352971143699283,0.00661973310917305,-0.00309002167218022,0.00309002167218022
HAHA,0.0,0.00304958199695041,-0.00304958199695041,0.00304958199695041
BAB,0.0150285651904952,0.0180729221393296,-0.0030443569488344015,0.0030443569488344015
ECA,0.00545831665514355,0.00845854786172113,-0.0030002312065775805,0.0030002312065775805
CEA,0.00669553509697609,0.00961437427760849,-0.0029188391806324,0.0029188391806324
BADA,0.00535382598244527,0.00247121299752878,0.0028826129849164896,0.0028826129849164896
DCD,0.00997052509006222,0.0070925711883997,0.0028779539016625206,0.0028779539016625206
CDE,0.0060041483206579,0.00315225386151098,0.0028518944591469204,0.0028518944591469204
AHC,0.00072777555401914,0.00352001681202059,-0.00279224125800145,0.00279224125800145
CDAC,0.0063371817751393,0.00357537199642462,0.00276180977871468,0.00276180977871468
CHA,0.000618609220916269,0.00336240411894504,-0.002743794898028771,0.002743794898028771
BACD,0.00539024656735987,0.00268152899731847,0.0027087175700413997,0.0027087175700413997
FAFA,0.000509888188804312,0.00320731899679268,-0.002697430807988368,0.002697430807988368
CBD,0.00709581165168662,0.00441315540611537,0.0026826562455712502,0.0026826562455712502
ACAE,0.00152966456641293,0.00415374099584625,-0.0026240764294333196,0.0026240764294333196
ACBA,0.00644644352988309,0.00383826699616173,0.0026081765337213603,0.0026081765337213603
ABA,0.0230340962847057,0.0256383314069559,-0.0026042351222501994,0.0026042351222501994
CDA,0.0189221644044976,0.0163391825154985,0.0025829818889991016,0.0025829818889991016
HAD,0.000836941887122011,0.00341494168330356,-0.0025779997961815487,0.0025779997961815487
EACA,0.00222165567979021,0.00478468899521531,-0.0025630333154251,0.0025630333154251
CAH,0.000873330664822968,0.00341494168330356,-0.002541611018480592,0.002541611018480592
CAC,0.0207416032895455,0.0182305348324051,0.0025110684571404,0.0025110684571404
DABA,0.00604581709582255,0.00357537199642462,0.00247044509939793,0.00247044509939793
AHAH,0.000182102924572968,0.00262894999737105,-0.002446847072798082,0.002446847072798082
DCBC,0.00426120843500746,0.00184026499815973,0.0024209434368477295,0.0024209434368477295
ACACA,0.00233295665803958,0.00473584508524521,-0.00240288842720563,0.00240288842720563
HAF,0.000654997998617226,0.00304717873279394,-0.002392180734176714,0.002392180734176714
EAC,0.00775080965030384,0.0101397499211936,-0.0023889402708897603,0.0023889402708897603
FAH,0.000291110221607656,0.00267941578228433,-0.0023883055606766738,0.0023883055606766738
HAE,0.00036388777700957,0.00273195334664284,-0.00236806556963327,0.00236806556963327
FCD,0.00567664932134929,0.00330986655458652,0.00236678276676277,0.00236678276676277
ECB,0.00593137076525599,0.00357255437637911,0.0023588163888768796,0.0023588163888768796
