Pattern,Metric,Group
ADA,0.0355882245915359,Successful
DAD,0.0309668498235144,Successful
ABA,0.0230340962847057,Successful
CDC,0.0221971543975837,Successful
CBC,0.0219060441759761,Successful
DADA,0.0208689951560622,Successful
CAC,0.0207416032895455,Successful
ADAD,0.0205412098918308,Successful
ACD,0.0195043848477129,Successful
CDA,0.0189221644044976,Successful
ACA,0.02584848166439,Unsuccessful
ABA,0.0256383314069559,Unsuccessful
ADA,0.0238520542187664,Unsuccessful
AEA,0.0193863612482925,Unsuccessful
DAD,0.0189135231690658,Unsuccessful
CAC,0.0182305348324051,Unsuccessful
BAB,0.0180729221393296,Unsuccessful
CDA,0.0163391825154985,Unsuccessful
ADC,0.0148155931491016,Unsuccessful
AFA,0.0138699169906483,Unsuccessful
