Pattern,Metric,Group
BBB,0.0423221057828243,Successful
DDD,0.0363754684379417,Successful
BBBB,0.02063360201172,Successful
DDDD,0.0191517546419991,Successful
HHH,0.0160671409016448,Successful
CCC,0.0149675739963646,Successful
CBB,0.0142270493458698,Successful
BBC,0.0140475282184772,Successful
CDD,0.013464084554451,Successful
DDC,0.0119605951125373,Successful
HHH,0.0474213032872575,Unsuccessful
BBB,0.0358636310837495,Unsuccessful
DDD,0.0355151585550005,Unsuccessful
HHHH,0.0353272711426164,Unsuccessful
HHHHH,0.0267685868743823,Unsuccessful
CCC,0.021256824253688,Unsuccessful
HHHHHH,0.0206740135500567,Unsuccessful
DDDD,0.0187676127945149,Unsuccessful
BBBB,0.0181865721507219,Unsuccessful
HHHHHHH,0.0162613451245054,Unsuccessful
