Pattern,Metric_Success,Metric_Unsuccess,Diff,AbsDiff
HHH,0.0160671409016448,0.0474213032872575,-0.0313541623856127,0.0313541623856127
HHHH,0.0118547789577673,0.0353272711426164,-0.0234724921848491,0.0234724921848491
AAA,0.0440275564930547,0.0671971192937623,-0.02316956280070761,0.02316956280070761
HHHHH,0.00912052117263843,0.0267685868743823,-0.01764806570174387,0.01764806570174387
AAAA,0.0217786658883225,0.0367217686877197,-0.014943102799397201,0.014943102799397201
HHHHHH,0.00721494234789058,0.0206740135500567,-0.01345907120216612,0.01345907120216612
HHHHHHH,0.00577956686981357,0.0162613451245054,-0.010481778254691829,0.010481778254691829
AAAAA,0.0111872402560934,0.0216241353252339,-0.010436895069140502,0.010436895069140502
FFF,0.00195229226039539,0.0101057033337205,-0.00815341107332511,0.00815341107332511
AAAAAA,0.00611359600818143,0.013695443575354,-0.00758184756717257,0.00758184756717257
HHA,0.00217669366963624,0.00885701010570333,-0.00668031643606709,0.00668031643606709
AHH,0.00175033099207863,0.00827622255778836,-0.006525891565709731,0.006525891565709731
BBB,0.0423221057828243,0.0358636310837495,0.006458474699074797,0.006458474699074797
CCC,0.0149675739963646,0.021256824253688,-0.006289250257323402,0.006289250257323402
ADA,0.0127684401858043,0.00685329306539667,0.00591514712040763,0.00591514712040763
AAAAAAA,0.00328333370814311,0.00907609960437514,-0.00579276589623203,0.00579276589623203
CDC,0.00841505284653187,0.00270066209780462,0.00571439074872725,0.00571439074872725
CBB,0.0142270493458698,0.00876989197351608,0.00545715737235372,0.00545715737235372
BBC,0.0140475282184772,0.00911836450226507,0.00492916371621213,0.00492916371621213
HAA,0.000964926059735655,0.00574979672435822,-0.0047848706646225645,0.0047848706646225645
DAD,0.0109283486300293,0.00624346614008595,0.00468488248994335,0.00468488248994335
CCB,0.0107263873617126,0.00606922987571146,0.00465715748600114,0.00465715748600114
FFFF,0.000202070095871034,0.00482263734348217,-0.004620567247611136,0.004620567247611136
CCCC,0.0055232492871416,0.0101101072019987,-0.0045868579148570995,0.0045868579148570995
CBC,0.00801113030989834,0.00342664653269833,0.0045844837772000095,0.0045844837772000095
HHHA,0.001324681739599,0.00583945847011998,-0.00451477673052098,0.00451477673052098
ACD,0.00886385566501357,0.00447206411894529,0.004391791546068281,0.004391791546068281
AHHH,0.00105525494510429,0.00543273001946486,-0.004377475074360569,0.004377475074360569
BBA,0.0193658416174853,0.0152166337553722,0.0041492078621131,0.0041492078621131
AAH,0.00114444718712833,0.00516900917644325,-0.00402456198931492,0.00402456198931492
AAE,0.00641788030428831,0.0102509002206992,-0.0038330199164108908,0.0038330199164108908
AAF,0.00320894015214415,0.00702752932977117,-0.0038185891776270197,0.0038185891776270197
HHAA,0.000628662520487662,0.00418349263530984,-0.003554830114822178,0.003554830114822178
BCD,0.00626079931781971,0.00272970147520037,0.0035310978426193397,0.0035310978426193397
ADD,0.0184233556986737,0.0149262399814148,0.003497115717258902,0.003497115717258902
ACB,0.00727060565940354,0.00377511906144732,0.00349548659795622,0.00349548659795622
BAC,0.00756232749141664,0.0041816703449878,0.00338065714642884,0.00338065714642884
FAA,0.00338846127953683,0.00670809617841793,-0.0033196348988811,0.0033196348988811
AAD,0.0155285775194668,0.0122255778836101,0.0033029996358567,0.0033029996358567
HHHHA,0.000808716163091092,0.00401092832645468,-0.0032022121633635877,0.0032022121633635877
FFA,0.00258061620626977,0.00577883610175397,-0.0031982198954842,0.0031982198954842
CBA,0.00648520072706056,0.00331048902311534,0.00317471170394522,0.00317471170394522
CFC,0.00632811974059197,0.0031652921361366,0.00316282760445537,0.00316282760445537
CCCCC,0.00231382679995507,0.00543509852932628,-0.0031212717293712102,0.0031212717293712102
AHHHH,0.000696394473772885,0.00380747544033017,-0.003111080966557285,0.003111080966557285
CCD,0.0102102641204586,0.00711464746195841,0.00309561665850019,0.00309561665850019
AFF,0.00271525705181428,0.00577883610175397,-0.00306357904993969,0.00306357904993969
AAHH,0.000628662520487662,0.00368960808808576,-0.003060945567598098,0.003060945567598098
CAC,0.0092677782016471,0.0062144267626902,0.0030533514389568988,0.0030533514389568988
DAA,0.0161793416062652,0.0131548379602741,0.0030245036459911005,0.0030245036459911005
DDA,0.0193658416174853,0.0164653269833894,0.0029005146340959007,0.0029005146340959007
BCA,0.00590175706303435,0.00302009524915785,0.0028816618138765,0.0028816618138765
DADA,0.00417611531466804,0.00133639348072397,0.00283972183394407,0.00283972183394407
ADAD,0.00399649745167156,0.00116208128758606,0.0028344161640855006,0.0028344161640855006
CDD,0.013464084554451,0.0106574515042397,0.0028066330502112997,0.0028066330502112997
CDA,0.00727060565940354,0.00447206411894529,0.00279854154045825,0.00279854154045825
FFFFF,0.0,0.0027902110097076,-0.0027902110097076,0.0027902110097076
DCC,0.00866189439669681,0.00589499361133697,0.0027669007853598406,0.0027669007853598406
ABB,0.0176155106254067,0.0148681612266233,0.0027473493987834,0.0027473493987834
EAA,0.00715840495478311,0.00990242769195028,-0.00274402273716717,0.00274402273716717
CAA,0.0101878239795345,0.0129225229411081,-0.002734698961573599,0.002734698961573599
CCA,0.00841505284653187,0.0111220815425717,-0.00270702869603983,0.00270702869603983
AEA,0.0052285528353118,0.00792775002903937,-0.002699197193727571,0.002699197193727571
AAAF,0.00114506387660252,0.00380581621684436,-0.0026607523402418396,0.0026607523402418396
AEE,0.00365774297062585,0.00630154489487745,-0.0026438019242516,0.0026438019242516
EEA,0.00302941902475147,0.00566267859217098,-0.0026332595674195096,0.0026332595674195096
DAAD,0.00484968230090482,0.00223700647860317,0.0026126758223016504,0.0026126758223016504
HHHAA,0.00031450073009098,0.00287740510376097,-0.00256290437366999,0.00256290437366999
CCAA,0.00226767552033049,0.00482263734348217,-0.00255496182315168,0.00255496182315168
AFA,0.00249085564257343,0.00502381228946451,-0.0025329566468910805,0.0025329566468910805
HHC,0.00125664789174876,0.00377511906144732,-0.00251847116969856,0.00251847116969856
BBBB,0.02063360201172,0.0181865721507219,0.0024470298609981025,0.0024470298609981025
CAAA,0.00383933182154965,0.00627523895296476,-0.00243590713141511,0.00243590713141511
AADA,0.00525382249264689,0.00281804712239621,0.00243577537025068,0.00243577537025068
HAAA,0.00035923572599295,0.0027599430580169,-0.0024007073320239498,0.0024007073320239498
BAD,0.00536319368085631,0.0029910558717621,0.0023721378090942103,0.0023721378090942103
ADAA,0.00527627472552145,0.00290520321896516,0.00237107150655629,0.00237107150655629
BCB,0.00464510917128559,0.00232315019165989,0.0023219589796256994,0.0023219589796256994
AHHHHH,0.000427052662336202,0.00273327324009188,-0.002306220577755678,0.002306220577755678
AAAH,0.000426592424616628,0.00273089102582725,-0.0023042986012106223,0.0023042986012106223
DCB,0.00475730987590602,0.00246834707863863,0.00228896279726739,0.00228896279726739
DAC,0.00608127819042703,0.00380415843884307,0.0022771197515839598,0.0022771197515839598
HHHHHA,0.00065181722146052,0.00290773748945945,-0.00225592026799893,0.00225592026799893
BCC,0.00850481341022821,0.0062725055174817,0.0022323078927465106,0.0022323078927465106
CDDC,0.00388423628729877,0.00165596583481014,0.00222827045248863,0.00222827045248863
FAAA,0.00134713397247356,0.0035443479271375,-0.00219721395466394,0.00219721395466394
DDC,0.0119605951125373,0.00987338831455453,0.0020872067979827696,0.0020872067979827696
EEE,0.00271525705181428,0.00479149727029852,-0.0020762402184842403,0.0020762402184842403
ABC,0.00457778874851334,0.00255546521082588,0.00202232353768746,0.00202232353768746
DHH,0.00103224648250791,0.00302009524915785,-0.00198784876664994,0.00198784876664994
AAHHH,0.000359429405818263,0.00229611114340522,-0.001936681737586957,0.001936681737586957
CBBB,0.00577022384876175,0.00383486824903402,0.0019353555997277299,0.0019353555997277299
DBB,0.00814577115544285,0.00624346614008595,0.0019023050153569006,0.0019023050153569006
AAFF,0.00069601921911134,0.00258563086487899,-0.0018896116457676497,0.0018896116457676497
CBBC,0.00339028716405846,0.00151070567386188,0.0018795814901965801,0.0018795814901965801
CHH,0.00085272535511523,0.00272970147520037,-0.00187697612008514,0.00187697612008514
DCA,0.0065749612907569,0.00473341851550702,0.0018415427752498797,0.0018415427752498797
HHHHAA,0.000202288103211885,0.00203541624262161,-0.001833128139409725,0.001833128139409725
ADADA,0.00204425474559137,0.0002325175841423,0.00181173716144907,0.00181173716144907
AAAHH,0.000202179040772773,0.00200546416322734,-0.0018032851224545668,0.0018032851224545668
FFFFFF,0.0,0.00180279724346486,-0.00180279724346486,0.00180279724346486
DAB,0.00534075353993223,0.00354280404228133,0.0017979494976509002,0.0017979494976509002
AFFF,0.000471496890365746,0.00226605851079283,-0.001794561620427084,0.001794561620427084
CCBB,0.00460270773928467,0.00281804712239621,0.00178466061688846,0.00178466061688846
CCCCCC,0.00125868153109617,0.00302404698903783,-0.0017653654579416597,0.0017653654579416597
FFAA,0.000830732616358696,0.00258563086487899,-0.0017548982485202937,0.0017548982485202937
EAAA,0.00296369473944183,0.00470642921472357,-0.0017427344752817403,0.0017427344752817403
FFFA,0.000381687958867509,0.00212079834984457,-0.0017391103909770611,0.0017391103909770611
AAAE,0.00285143357506904,0.00459022108596496,-0.00173878751089592,0.00173878751089592
DAADA,0.00220150511063686,0.000465035168284601,0.0017364699423522588,0.0017364699423522588
HHAAA,0.000269572054363697,0.00200546416322734,-0.0017358921088636429,0.0017358921088636429
AAAC,0.00525382249264689,0.0069724877255164,-0.0017186652328695096,0.0017186652328695096
BCDC,0.00188598756146298,0.00017431219313791,0.00171167536832507,0.00171167536832507
CCCA,0.00235748445182873,0.00406728450655123,-0.0017098000547224996,0.0017098000547224996
HHHC,0.000853184849233256,0.00255657883268934,-0.001703393983456084,0.001703393983456084
DDE,0.00619347889504746,0.00450110349634103,0.0016923753987064302,0.0016923753987064302
CAAAA,0.0015725036504549,0.00325524617799221,-0.0016827425275373102,0.0016827425275373102
ACF,0.00385970423894262,0.00220699268207689,0.00165271155686573,0.00165271155686573
EAE,0.00240109507887709,0.00403647345800906,-0.00163537837913197,0.00163537837913197
